climat_code,Nam,thang,tmax_avg,tmax_max,pre_min
2,2037,2,32.81,35.72,0
2,2037,3,34.2,37.4,0
2,2037,4,35.6,40.45,0
2,2037,5,34.42,39.53,19.5
2,2037,6,32.97,35.66,43.2
2,2037,7,32.4,35.14,43.2
2,2037,8,31.78,33.49,82.2
2,2037,9,31.72,33.49,59.1
2,2037,10,31.77,34.56,93.6
2,2037,11,31.5,33.29,21
2,2037,12,31.53,34.45,0
2,2038,1,31.69,33.98,0
2,2038,2,33.08,35.39,0
2,2038,3,34.4,36.81,0
2,2038,4,35.48,40.74,0
2,2038,5,34.45,39.14,44.1
2,2038,6,32.76,34.44,23.4
2,2038,7,32.03,33.29,52.5
2,2038,8,31.27,33.79,35.4
2,2038,9,31.6,34.18,130.8
2,2038,10,31.8,34.51,82.8
2,2038,11,32.21,34.43,0
2,2038,12,31.09,33.89,0
2,2039,1,31.87,34.25,0
2,2039,2,32.6,34.05,0
2,2039,3,34.56,36.82,0
2,2039,4,35.42,39.44,0
2,2039,5,34.69,39.87,16.5
2,2039,6,32.86,35.27,0
2,2039,7,32.35,33.68,53.7
2,2039,8,31.66,34.1,38.1
2,2039,9,31.86,33.25,27.6
2,2039,10,32.05,34.32,48
2,2039,11,31.83,34.36,31.5
2,2039,12,31.05,33.35,0
2,2040,1,31.91,35.76,0
2,2040,2,32.76,34.82,0
2,2040,3,34.22,37.36,0
2,2040,4,35.57,40.66,0
2,2040,5,35,40.38,0
2,2040,6,33.18,35.81,35.7
2,2040,7,32.57,34.49,50.1
2,2040,8,31.84,34.25,32.7
2,2040,9,31.84,34.64,86.1
2,2040,10,32.13,34.48,93
2,2040,11,31.77,33.26,0
2,2040,12,31.18,32.76,1.2
2,2041,1,31.6,33.32,0
2,2041,2,32.76,34.8,0
2,2041,3,33.95,36.48,0
2,2041,4,35.37,40.37,0.9
2,2041,5,34.68,38.43,19.5
2,2041,6,32.96,34.6,50.4
2,2041,7,32.29,33.55,35.1
2,2041,8,31.92,33.64,28.5
2,2041,9,31.51,32.96,91.5
2,2041,10,32.15,33.33,110.4
2,2041,11,31.97,33.81,24
2,2041,12,31.08,32.84,1.8
2,2042,1,31.8,33.88,0
2,2042,2,32.9,34.74,0
2,2042,3,34.11,36.3,0
2,2042,4,35.38,41.44,0
2,2042,5,34.86,39.64,12.3
2,2042,6,33.34,36.33,34.2
2,2042,7,32.6,34.84,40.5
2,2042,8,31.56,33.82,28.2
2,2042,9,31.56,33.39,50.1
2,2042,10,31.8,33.77,121.8
2,2042,11,31.64,33.61,33.3
2,2042,12,30.98,33.3,0.9
2,2043,1,31.79,34.83,0
2,2043,2,32.67,36.21,0
2,2043,3,34.44,37.26,0
2,2043,4,35.3,41.07,0
2,2043,5,34.61,39.23,6.9
2,2043,6,33.2,35.74,15.9
2,2043,7,32.04,34.32,25.5
2,2043,8,32.05,34.35,53.4
